"Statistic Label","Year","Type of Building and Construction","UNIT","VALUE"
"Volume of Production Index in Building and Construction","2008","All building and construction","Base 2015=100","213.69749521"
"Volume of Production Index in Building and Construction","2008","Building (excluding civil engineering)","Base 2015=100","238.35313612"
"Volume of Production Index in Building and Construction","2008","Residential building","Base 2015=100","353.48726588"
"Volume of Production Index in Building and Construction","2008","Non-residential building","Base 2015=100","155.91246297"
"Volume of Production Index in Building and Construction","2008","Civil engineering","Base 2015=100","160.14868726"
"Volume of Production Index in Building and Construction","2009","All building and construction","Base 2015=100","134.80092335"
"Volume of Production Index in Building and Construction","2009","Building (excluding civil engineering)","Base 2015=100","132.93347473"
"Volume of Production Index in Building and Construction","2009","Residential building","Base 2015=100","148.11855146"
"Volume of Production Index in Building and Construction","2009","Non-residential building","Base 2015=100","121.63563066"
"Volume of Production Index in Building and Construction","2009","Civil engineering","Base 2015=100","139.59503584"
"Volume of Production Index in Building and Construction","2010","All building and construction","Base 2015=100","94.731838159"
"Volume of Production Index in Building and Construction","2010","Building (excluding civil engineering)","Base 2015=100","89.090271103"
"Volume of Production Index in Building and Construction","2010","Residential building","Base 2015=100","92.98330058"
"Volume of Production Index in Building and Construction","2010","Non-residential building","Base 2015=100","85.963628945"
"Volume of Production Index in Building and Construction","2010","Civil engineering","Base 2015=100","107.68686321"
"Volume of Production Index in Building and Construction","2011","All building and construction","Base 2015=100","78.921447786"
"Volume of Production Index in Building and Construction","2011","Building (excluding civil engineering)","Base 2015=100","77.081954187"
"Volume of Production Index in Building and Construction","2011","Residential building","Base 2015=100","67.870287395"
"Volume of Production Index in Building and Construction","2011","Non-residential building","Base 2015=100","84.480199153"
"Volume of Production Index in Building and Construction","2011","Civil engineering","Base 2015=100","83.145573003"
"Volume of Production Index in Building and Construction","2012","All building and construction","Base 2015=100","76.985720241"
"Volume of Production Index in Building and Construction","2012","Building (excluding civil engineering)","Base 2015=100","68.37384753"
"Volume of Production Index in Building and Construction","2012","Residential building","Base 2015=100","59.460629792"
"Volume of Production Index in Building and Construction","2012","Non-residential building","Base 2015=100","75.532396548"
"Volume of Production Index in Building and Construction","2012","Civil engineering","Base 2015=100","96.76161329"
"Volume of Production Index in Building and Construction","2013","All building and construction","Base 2015=100","85.71923038"
"Volume of Production Index in Building and Construction","2013","Building (excluding civil engineering)","Base 2015=100","78.972840277"
"Volume of Production Index in Building and Construction","2013","Residential building","Base 2015=100","65.825111756"
"Volume of Production Index in Building and Construction","2013","Non-residential building","Base 2015=100","89.532288263"
"Volume of Production Index in Building and Construction","2013","Civil engineering","Base 2015=100","101.21131829"
"Volume of Production Index in Building and Construction","2014","All building and construction","Base 2015=100","92.730278239"
"Volume of Production Index in Building and Construction","2014","Building (excluding civil engineering)","Base 2015=100","87.657144113"
