"Statistic Label","Year","Nace Rev 2 Activity","UNIT","VALUE"
"Employees - Other","2015","Construction of utility projects (422)","Number",""
"Employees - Other","2015","Construction of other civil engineering projects (429)","Number",""
"Employees - Other","2015","Demolition and site preparation (431)","Number",""
"Employees - Other","2015","Electrical, plumbing and other construction installation activities (432)","Number",""
"Employees - Other","2015","Building completion and finishing (433)","Number",""
"Employees - Other","2015","Other specialised construction activities (439)","Number",""
"Employees - Other","2015","Construction (41 to 43)","Number",""
"Employees - Other","2016","Development of building projects (411)","Number",""
"Employees - Other","2016","Construction of residential and non-residential buildings (412)","Number",""
"Employees - Other","2016","Construction of roads and railways (421)","Number",""
"Employees - Other","2016","Construction of utility projects (422)","Number",""
"Employees - Other","2016","Construction of other civil engineering projects (429)","Number",""
"Employees - Other","2016","Demolition and site preparation (431)","Number",""
"Employees - Other","2016","Electrical, plumbing and other construction installation activities (432)","Number",""
"Employees - Other","2016","Building completion and finishing (433)","Number",""
"Employees - Other","2016","Other specialised construction activities (439)","Number",""
"Employees - Other","2016","Construction (41 to 43)","Number",""
"Employees - Other","2017","Development of building projects (411)","Number",""
"Employees - Other","2017","Construction of residential and non-residential buildings (412)","Number",""
"Employees - Other","2017","Construction of roads and railways (421)","Number",""
"Employees - Other","2017","Construction of utility projects (422)","Number",""
"Employees - Other","2017","Construction of other civil engineering projects (429)","Number",""
"Employees - Other","2017","Demolition and site preparation (431)","Number",""
"Employees - Other","2017","Electrical, plumbing and other construction installation activities (432)","Number",""
"Employees - Other","2017","Building completion and finishing (433)","Number",""
"Employees - Other","2017","Other specialised construction activities (439)","Number",""
"Employees - Other","2017","Construction (41 to 43)","Number",""
"Employees - Other","2018","Development of building projects (411)","Number",""
"Employees - Other","2018","Construction of residential and non-residential buildings (412)","Number",""
"Employees - Other","2018","Construction of roads and railways (421)","Number",""
"Employees - Other","2018","Construction of utility projects (422)","Number",""
"Employees - Other","2018","Construction of other civil engineering projects (429)","Number",""
"Employees - Other","2018","Demolition and site preparation (431)","Number",""
"Employees - Other","2018","Electrical, plumbing and other construction installation activities (432)","Number",""
"Employees - Other","2018","Building completion and finishing (433)","Number",""
"Employees - Other","2018","Other specialised construction activities (439)","Number",""
"Employees - Other","2018","Construction (41 to 43)","Number",""
"Employees - Other","2019","Development of building projects (411)","Number",""
"Employees - Other","2019","Construction of residential and non-residential buildings (412)","Number",""
"Employees - Other","2019","Construction of roads and railways (421)","Number",""
"Employees - Other","2019","Construction of utility projects (422)","Number",""
"Employees - Other","2019","Construction of other civil engineering projects (429)","Number",""
"Employees - Other","2019","Demolition and site preparation (431)","Number",""
"Employees - Other","2019","Electrical, plumbing and other construction installation activities (432)","Number",""
"Employees - Other","2019","Building completion and finishing (433)","Number",""
"Employees - Other","2019","Other specialised construction activities (439)","Number",""
"Employees - Other","2019","Construction (41 to 43)","Number",""
"Employees - Total","2008","Development of building projects (411)","Number","3730"
"Employees - Total","2008","Construction of residential and non-residential buildings (412)","Number","48535"
"Employees - Total","2008","Construction of roads and railways (421)","Number","5171"
"Employees - Total","2008","Construction of utility projects (422)","Number","2427"
"Employees - Total","2008","Construction of other civil engineering projects (429)","Number","4732"
"Employees - Total","2008","Demolition and site preparation (431)","Number","2465"
"Employees - Total","2008","Electrical, plumbing and other construction installation activities (432)","Number","32179"
"Employees - Total","2008","Building completion and finishing (433)","Number","24534"
"Employees - Total","2008","Other specialised construction activities (439)","Number","21967"
"Employees - Total","2008","Construction (41 to 43)","Number","145740"
"Employees - Total","2009","Development of building projects (411)","Number","2814"
"Employees - Total","2009","Construction of residential and non-residential buildings (412)","Number","30090"
"Employees - Total","2009","Construction of roads and railways (421)","Number","3447"
"Employees - Total","2009","Construction of utility projects (422)","Number","1857"
"Employees - Total","2009","Construction of other civil engineering projects (429)","Number","3872"
"Employees - Total","2009","Demolition and site preparation (431)","Number","1632"
"Employees - Total","2009","Electrical, plumbing and other construction installation activities (432)","Number","25131"
"Employees - Total","2009","Building completion and finishing (433)","Number","14127"
"Employees - Total","2009","Other specialised construction activities (439)","Number","13279"
"Employees - Total","2009","Construction (41 to 43)","Number","96249"
"Employees - Total","2010","Development of building projects (411)","Number","1615"
"Employees - Total","2010","Construction of residential and non-residential buildings (412)","Number","21243"
"Employees - Total","2010","Construction of roads and railways (421)","Number","2545"
"Employees - Total","2010","Construction of utility projects (422)","Number","1751"
"Employees - Total","2010","Construction of other civil engineering projects (429)","Number","2368"
"Employees - Total","2010","Demolition and site preparation (431)","Number","1109"
"Employees - Total","2010","Electrical, plumbing and other construction installation activities (432)","Number","19888"
"Employees - Total","2010","Building completion and finishing (433)","Number","10124"
"Employees - Total","2010","Other specialised construction activities (439)","Number","9134"
"Employees - Total","2010","Construction (41 to 43)","Number","69777"
"Employees - Total","2011","Development of building projects (411)","Number","1470"
"Employees - Total","2011","Construction of residential and non-residential buildings (412)","Number","17562"
"Employees - Total","2011","Construction of roads and railways (421)","Number","2152"
"Employees - Total","2011","Construction of utility projects (422)","Number","1632"
"Employees - Total","2011","Construction of other civil engineering projects (429)","Number","1965"
"Employees - Total","2011","Demolition and site preparation (431)","Number","902"
"Employees - Total","2011","Electrical, plumbing and other construction installation activities (432)","Number","18822"
"Employees - Total","2011","Building completion and finishing (433)","Number","8944"
"Employees - Total","2011","Other specialised construction activities (439)","Number","7748"
"Employees - Total","2011","Construction (41 to 43)","Number","61197"
"Employees - Total","2012","Development of building projects (411)","Number","1376"
"Employees - Total","2012","Construction of residential and non-residential buildings (412)","Number","15536"
"Employees - Total","2012","Construction of roads and railways (421)","Number","2064"
"Employees - Total","2012","Construction of utility projects (422)","Number","1483"
"Employees - Total","2012","Construction of other civil engineering projects (429)","Number","1882"
"Employees - Total","2012","Demolition and site preparation (431)","Number","766"
"Employees - Total","2012","Electrical, plumbing and other construction installation activities (432)","Number","17436"
"Employees - Total","2012","Building completion and finishing (433)","Number","8224"
"Employees - Total","2012","Other specialised construction activities (439)","Number","6969"
"Employees - Total","2012","Construction (41 to 43)","Number","55736"
"Employees - Total","2013","Development of building projects (411)","Number","1558"
"Employees - Total","2013","Construction of residential and non-residential buildings (412)","Number","15640"
"Employees - Total","2013","Construction of roads and railways (421)","Number","2053"
"Employees - Total","2013","Construction of utility projects (422)","Number","1746"
"Employees - Total","2013","Construction of other civil engineering projects (429)","Number","1760"
"Employees - Total","2013","Demolition and site preparation (431)","Number","734"
"Employees - Total","2013","Electrical, plumbing and other construction installation activities (432)","Number","18698"
"Employees - Total","2013","Building completion and finishing (433)","Number","8301"
"Employees - Total","2013","Other specialised construction activities (439)","Number","7569"
