"Statistic Label","Year","Persons Engaged","UNIT","VALUE"
"Persons Engaged - Proprietors and Unpaid Family Workers","2012","50 - 249","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2012","250 and over","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2013","0 - 9","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2013","10 - 49","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2013","50 - 249","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2013","250 and over","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2014","0 - 9","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2014","10 - 49","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2014","50 - 249","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2014","250 and over","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2015","0 - 9","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2015","10 - 49","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2015","50 - 249","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2015","250 and over","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2016","0 - 9","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2016","10 - 49","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2016","50 - 249","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2016","250 and over","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2017","0 - 9","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2017","10 - 49","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2017","50 - 249","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2017","250 and over","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2018","0 - 9","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2018","10 - 49","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2018","50 - 249","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2018","250 and over","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2019","0 - 9","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2019","10 - 49","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2019","50 - 249","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2019","250 and over","Number",""
"Persons Engaged - Labour only subcontract basis","2008","0 - 9","Number",""
"Persons Engaged - Labour only subcontract basis","2008","10 - 49","Number",""
"Persons Engaged - Labour only subcontract basis","2008","50 - 249","Number",""
"Persons Engaged - Labour only subcontract basis","2008","250 and over","Number",""
"Persons Engaged - Labour only subcontract basis","2009","0 - 9","Number",""
"Persons Engaged - Labour only subcontract basis","2009","10 - 49","Number",""
"Persons Engaged - Labour only subcontract basis","2009","50 - 249","Number",""
"Persons Engaged - Labour only subcontract basis","2009","250 and over","Number",""
"Persons Engaged - Labour only subcontract basis","2010","0 - 9","Number",""
"Persons Engaged - Labour only subcontract basis","2010","10 - 49","Number",""
"Persons Engaged - Labour only subcontract basis","2010","50 - 249","Number",""
"Persons Engaged - Labour only subcontract basis","2010","250 and over","Number",""
"Persons Engaged - Labour only subcontract basis","2011","0 - 9","Number",""
"Persons Engaged - Labour only subcontract basis","2011","10 - 49","Number",""
"Persons Engaged - Labour only subcontract basis","2011","50 - 249","Number",""
"Persons Engaged - Labour only subcontract basis","2011","250 and over","Number",""
"Persons Engaged - Labour only subcontract basis","2012","0 - 9","Number",""
"Persons Engaged - Labour only subcontract basis","2012","10 - 49","Number",""
"Persons Engaged - Labour only subcontract basis","2012","50 - 249","Number",""
"Persons Engaged - Labour only subcontract basis","2012","250 and over","Number",""
"Persons Engaged - Labour only subcontract basis","2013","0 - 9","Number",""
"Persons Engaged - Labour only subcontract basis","2013","10 - 49","Number",""
"Persons Engaged - Labour only subcontract basis","2013","50 - 249","Number",""
"Persons Engaged - Labour only subcontract basis","2013","250 and over","Number",""
"Persons Engaged - Labour only subcontract basis","2014","0 - 9","Number",""
"Persons Engaged - Labour only subcontract basis","2014","10 - 49","Number",""
"Persons Engaged - Labour only subcontract basis","2014","50 - 249","Number",""
"Persons Engaged - Labour only subcontract basis","2014","250 and over","Number",""
"Persons Engaged - Labour only subcontract basis","2015","0 - 9","Number",""
"Persons Engaged - Labour only subcontract basis","2015","10 - 49","Number",""
"Persons Engaged - Labour only subcontract basis","2015","50 - 249","Number",""
"Persons Engaged - Labour only subcontract basis","2015","250 and over","Number",""
"Persons Engaged - Labour only subcontract basis","2016","0 - 9","Number",""
"Persons Engaged - Labour only subcontract basis","2016","10 - 49","Number",""
"Persons Engaged - Labour only subcontract basis","2016","50 - 249","Number",""
"Persons Engaged - Labour only subcontract basis","2016","250 and over","Number",""
"Persons Engaged - Labour only subcontract basis","2017","0 - 9","Number",""
"Persons Engaged - Labour only subcontract basis","2017","10 - 49","Number",""
"Persons Engaged - Labour only subcontract basis","2017","50 - 249","Number",""
"Persons Engaged - Labour only subcontract basis","2017","250 and over","Number",""
"Persons Engaged - Labour only subcontract basis","2018","0 - 9","Number",""
"Persons Engaged - Labour only subcontract basis","2018","10 - 49","Number",""
"Persons Engaged - Labour only subcontract basis","2018","50 - 249","Number",""
"Persons Engaged - Labour only subcontract basis","2018","250 and over","Number",""
"Persons Engaged - Labour only subcontract basis","2019","0 - 9","Number",""
"Persons Engaged - Labour only subcontract basis","2019","10 - 49","Number",""
"Persons Engaged - Labour only subcontract basis","2019","50 - 249","Number",""
"Persons Engaged - Labour only subcontract basis","2019","250 and over","Number",""
"Persons Engaged - Total","2008","0 - 9","Number","110123"
"Persons Engaged - Total","2008","10 - 49","Number","45126"
"Persons Engaged - Total","2008","50 - 249","Number","22061"
"Persons Engaged - Total","2008","250 and over","Number","12759"
"Persons Engaged - Total","2009","0 - 9","Number","84578"
"Persons Engaged - Total","2009","10 - 49","Number","28699"
"Persons Engaged - Total","2009","50 - 249","Number","13365"
"Persons Engaged - Total","2009","250 and over","Number","7671"
"Persons Engaged - Total","2010","0 - 9","Number","71650"
"Persons Engaged - Total","2010","10 - 49","Number","19802"
"Persons Engaged - Total","2010","50 - 249","Number","8459"
"Persons Engaged - Total","2010","250 and over","Number","4634"
"Persons Engaged - Total","2011","0 - 9","Number","67151"
"Persons Engaged - Total","2011","10 - 49","Number","16697"
